elapsed_sec,policy_version,last_batch_reward_mean,rolling_reward_mean,last_batch_steps,last_batch_trajectories
66.57,118,98.3515625,84.10109138673126,12717,128
67.57,119,100.2578125,85.71676349805813,12961,128
68.58,120,103.75,87.52008714825232,13408,128
69.58,121,95.2109375,88.2891721834271,12315,128
70.62,122,96.296875,89.08994246508439,12454,128
71.65,123,103.96875,90.57782321857596,13436,128
72.68,124,116.1328125,93.13332214671837,14992,128
73.72,125,109.6484375,94.78483368204654,14163,128
74.77,126,113.3046875,96.6368190638419,14631,128
75.80,127,112.46875,98.22001215745772,14524,128
76.90,128,101.7265625,98.57066719171195,13149,128
77.93,129,118.4140625,100.55500672254077,15285,128
78.94,130,124.109375,102.9104435502867,16014,128
80.00,131,114.9453125,104.11393044525803,14841,128
81.03,132,116.265625,105.32909990073225,15010,128
82.06,133,114.7109375,106.26728366065902,14811,128
83.10,134,121.2109375,107.76164904459311,15643,128
84.15,135,115.0625,108.49173414013381,14856,128
85.19,136,129.203125,110.56287322612044,16666,128
86.20,136,129.203125,110.56287322612044,16666,128
87.24,137,120.9453125,111.60111715350841,15608,128
88.25,138,127.765625,113.21756793815757,16482,128
89.29,139,149.6171875,116.85752989434182,19279,128
90.33,140,143.6875,119.54052690490765,18520,128
91.34,140,143.6875,119.54052690490765,18520,128
92.38,141,137.4609375,121.33256796441688,17723,128
93.42,142,134.390625,122.6383736679752,17330,128
94.45,143,154.7578125,125.85031755117768,19937,128
95.46,143,154.7578125,125.85031755117768,19937,128
96.50,144,151.3125,128.3965357960599,19495,128
97.54,144,151.3125,128.3965357960599,19495,128
98.57,145,137.5703125,129.31391346645393,17736,128
99.62,146,144.2890625,130.81142836980854,18597,128
100.65,147,153.03125,133.0334105328277,19716,128
101.66,147,153.03125,133.0334105328277,19716,128
102.68,148,151.1484375,134.84491322954494,19473,128
103.74,149,147.8046875,136.14089065659044,19047,128
104.74,149,147.8046875,136.14089065659044,19047,128
105.79,150,167.8671875,139.3135203409314,21614,128
106.83,150,167.8671875,139.3135203409314,21614,128
107.87,151,164.375,141.81966830683825,21168,128
